id,user,brewery,name,abv,rating,style,country,drink_country,drink_city,drink_datetime,"notes",creation_datetime,last_updated,country_iso,brew_with,brew_year,tags
14738,1,Polo Brewery,San Miguel,5,3.3,Pale Lager,Philippines,England,London,2012-01-01,"",15:54.5,15:54.5,ph,,,
14739,1,Samuel Smith's,Taddy Lager,3.7,3.2,Premium Lager,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14740,1,Ithaca,Apricot Wheat,4.9,3.1,Fruit Beer,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,apricot
14741,1,Leinenkugel,Original,4.6,2.9,Pale Lager,USA,USA,Eden Prairie,2010-08-01,"",15:54.5,15:54.5,us,,,
14742,1,Right House,,5,3.1,Pale Lager,Kazakhstan,Kazakhstan,Almaty,2010-08-01,"Microbrew",15:54.5,15:54.5,kz,,,
14743,1,Asahi,,5,2.8,Pale Lager,Japan,Japan,Tokyo,2011-08-01,"",15:54.5,15:54.5,jp,,,
14744,1,Guinness,,4.2,2.9,Dry Stout,Ireland,England,London,2012-01-01,"",15:54.5,15:54.5,ie,,,
14745,1,Licher,Weizen,5.4,3.1,Hefeweizen,Germany,China,Shanghai,2011-07-01,"",15:54.5,15:54.5,de,,,
14746,1,Sapporo,Yebisu,5.5,3,Premium Lager,Japan,China,Shanghai,2011-07-01,"",15:54.5,15:54.5,jp,,,
14747,1,Reeb,Antarktik,3.5,2.5,Pale Lager,China,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,cn,,,
14748,1,Franziskaner,Weissbier,5,2.8,Kristallweizen,Germany,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,de,,,
14749,1,Saranac,Pomegranate Wheat,4.7,2.9,Fruit Beer,USA,USA,Ithaca,2011-10-01,"",15:54.5,15:54.5,us,,,pomegranate
14750,1,Kronenbourg,1664 Blanc,5,2.9,Belgian White,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14751,1,Grimbergen,Rouge,6,2.9,Fruit Beer,Belgium,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,be,,,
14752,1,White Horse,Bitters,4.5,2.9,Bitter,England,England,Oxford,2012-01-01,"",15:54.5,15:54.5,gb,,,
14753,1,Shock Top,Belgian White,5.2,2.9,Belgian White,USA,USA,Ithaca,2011-10-01,"",15:54.5,15:54.5,us,,,
14754,1,Greene King,Abbot Ale,5,2.8,Premium Bitter,England,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,gb,,,
14755,1,Greene King,IPA,3.6,2.8,Bitter,England,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,gb,,,
14756,1,Corona,Extra,4.6,0.7,Pale Lager,Mexico,USA,Ithaca,2011-09-01,"",15:54.5,15:54.5,mx,,,
14757,1,Tsingtao,Stout,7.5,2.8,Foreign Stout,China,China,Shanghai,2010-06-01,"",15:54.5,15:54.5,cn,,,
14758,1,Kronenbourg,1664,5.9,2.7,Pale Lager,France,France,Strasbourg,2011-08-01,"",15:54.5,15:54.5,fr,,,
14759,1,Brouwerij de Prael,Heintje,5.4,2.7,Belgian White,Netherlands,Netherlands,Amsterdam,2011-07-01,"",15:54.5,15:54.5,nl,,,
14760,1,Heineken,,5,1.8,Pale Lager,Netherlands,Netherlands,Amsterdam,2011-07-01,"",15:54.5,15:54.5,nl,,,
14761,1,Kirin,Lager,4.9,2.7,Pale Lager,Japan,China,Shanghai,2010-06-01,"",15:54.5,15:54.5,jp,,,
14762,1,Tsingtao,,4.8,2.7,Pale Lager,China,China,Shanghai,2010-06-01,"First beer!",15:54.5,15:54.5,cn,,,
14763,1,Tsingtao,Aguerta,4,2.7,Pale Lager,China,China,Harbin,2012-04-01,"",15:54.5,15:54.5,cn,,,
14764,1,Stella Artois,,5,2.7,Pale Lager,Belgium,China,Shanghai,2010-06-01,"",15:54.5,15:54.5,be,,,
14765,1,Robinson's,Old Tom,8.5,2.7,Old Ale,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14766,1,Goose Island,Harvest Ale,5.7,2.6,Premium Bitter,USA,USA,Ithaca,2011-11-01,"",15:54.5,15:54.5,us,,,
14767,1,Kona,Wailua,5.4,2.6,Fruit Beer,USA,USA,Ithaca,2011-11-01,"Pomegranate, wheat",15:54.5,15:54.5,us,,,pomegranate
14768,1,Leinenkugel,Honey Weiss,4.9,2.6,Wheat Ale,USA,USA,Eden Prairie,2010-08-01,"",15:54.5,15:54.5,us,,,
14769,1,Magic Hat,Circus Boy,4.5,2.6,Spice,USA,USA,Ithaca,2011-11-01,"",15:54.5,15:54.5,us,,,lemongrass
14771,1,Роса,Великое,5,2.6,Pale Lager,Kazakhstan,Kazakhstan,Almaty,2010-08-01,"Not actually sure of the style - not on ratebeer",15:54.5,15:54.5,kz,,,
14772,1,Lagunitas,Pils,6.2,3.1,Pilsener,USA,USA,Ithaca,2013-03-01,"",15:54.5,15:54.5,us,,,
14773,1,Sharp's,Doom bar,4,2.5,Bitter,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14774,1,Sierra Nevada,Tumbler,5.5,2.4,Brown Ale,USA,USA,Ithaca,2011-11-01,"",15:54.5,15:54.5,us,,,
14775,1,Yuengling,Traditional Lager,4.4,1.7,Pale Lager,USA,USA,Ithaca,2010-10-01,"",15:54.5,15:54.5,us,,,
14776,1,Bavaria,Pilsener,5,2.4,Premium Lager,Netherlands,Kazakhstan,Almaty,2010-08-01,"",15:54.5,15:54.5,nl,,,
14777,1,Suntory,,5.5,2.4,Pale Lager,Japan,China,Shanghai,2010-07-01,"纯生",15:54.5,15:54.5,jp,,,
14778,1,Suntory,Premium,5.5,2.4,Pale Lager,Japan,China,Shanghai,2010-07-01,"超生",15:54.5,15:54.5,jp,,,
14779,1,Gulpener,Dort,7,2.4,Dortmunder,Netherlands,Netherlands,Amsterdam,2011-01-01,"",15:54.5,15:54.5,nl,,,
14780,1,Allemagne,Blond,4,2.4,Hefeweizen,Germany,France,Strasbourg,2010-08-01,"Brewery name is likely incorrect, but I can't seem to find it online to correct it",15:54.5,15:54.5,de,,,
14781,1,Harbin,Wheat King,3.5,2.4,Wheat Ale,China,China,Shanghai,2010-07-01,"小麦王",15:54.5,15:54.5,cn,,,
14782,1,Tiger,,5,2.4,Pale Lager,Singapore,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,sg,,,
14783,1,Redrock,Lager,3.5,2.4,Pale Lager,China,China,Shanghai,2010-07-01,"Not sure of the name",15:54.5,15:54.5,cn,,,
14784,1,Snow,,4.3,2.4,Pale Lager,China,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,cn,,,
14785,1,Brussels,Apple,3.2,2.4,Fruit Beer,Belgium,France,Strasbourg,2010-07-01,"",15:54.5,15:54.5,be,,,apple
14786,1,Leffe,Blond,6.6,1.3,Belgian Ale,Belgium,China,Shanghai,2010-07-01,"Consolidated with an 0.5 version that said (can) - wonder if the can was bad? Anyways it went from a 2.4 to a 1.3",15:54.5,15:54.5,be,,,
14787,1,Samuel Smith's,Extra Stout,4.3,2.4,Dry Stout,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14788,1,Urquell,Pilsner,4.4,2.8,Pilsener,Czech Republic,Kazakhstan,Almaty,2010-08-01,"",15:54.5,15:54.5,cz,,,
14789,1,Fuller's,London's Pride,4.7,2.4,Premium Bitter,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14790,1,Wadworth,Swordfish,5,2.4,Bitter,England,England,Oxford,2012-01-01,"",15:54.5,15:54.5,gb,,,
14791,1,Harpoon,UFO White,4.8,2.3,Belgian White,USA,USA,Ithaca,2011-09-01,"",15:54.5,15:54.5,us,,,
14792,1,Saranac,Pale Ale,4.7,2.3,English Pale Ale,USA,USA,Ithaca,2010-11-01,"",15:54.5,15:54.5,us,,,
14793,1,Tröegs,HopBack Amber Ale,6,2.3,Amber Ale,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14794,1,Yo-ho Breweries,Yona Yona Ale,5.5,2.3,American Pale Ale,Japan,Japan,Tokyo,2011-08-01,"",15:54.5,15:54.5,jp,,,
14795,1,BrewDog,Zeitgeist,4.9,2.3,Schwarzbier,Scotland,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,gb,,,
14796,1,La Chouffe,Bottle,8,2.3,Belgian Strong Ale,Belgium,Netherlands,Amsterdam,2011-08-01,"",15:54.5,15:54.5,be,,,
14797,1,Fuller's,Black Cab,4.5,2.3,Dry Stout,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14798,1,Saranac,Black Forest,5.5,0.8,Schwarzbier,USA,USA,Ithaca,2010-09-01,"Taste like grape - update from Chapter House 4/2013",15:54.5,15:54.5,us,,,
14799,1,Smuttynose,Old Brown Dog Ale,6.7,2.2,Brown Ale,USA,USA,Ithaca,2011-09-01,"",15:54.5,15:54.5,us,,,
14800,1,Kirin,Ichiban,5,2.2,Pale Lager,Japan,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,jp,,,
14801,1,Eichbaum,Apostel Bräu,4.8,2.2,Pilsener,Germany,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,de,,,
14802,1,Paulaner,Hefe-Weissbier,5.5,2.2,Hefeweizen,Germany,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,de,,,
14803,1,Artzner,Perle,5.4,2.2,Pilsener,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14804,1,Primátor,Premium,5,2.2,Pilsener,Czech Republic,China,Shanghai,2011-07-01,"",15:54.5,15:54.5,cz,,,
14805,1,Goose Island,312,4.2,2.1,Wheat Ale,USA,USA,Ithaca,2011-10-01,"",15:54.5,15:54.5,us,,,
14806,1,Suntory,Fresh,5,2.1,Pale Lager,Japan,China,Shanghai,2011-07-01,"清爽",15:54.5,15:54.5,jp,,,
14807,1,Smithwick's,Ale,3.5,2.1,Irish Ale,Ireland,France,Bordeaux,2010-08-01,"",15:54.5,15:54.5,ie,,,
14808,1,Alma-ata,Яатенное,4.5,2.1,Wheat Ale,Kazakhstan,Kazakhstan,Almaty,2012-01-01,"",15:54.5,15:54.5,kz,,,
14809,1,Harbin,1900,5,2.1,Pale Lager,China,China,Harbin,2012-02-01,"",15:54.5,15:54.5,cn,,,
14810,1,Ithaca,Pale Ale,7.5,2,American Pale Ale,USA,USA,Ithaca,2010-10-01,"",15:54.5,15:54.5,us,,,
14811,1,Miller,Genuine Draft,4.66,2,Pale Lager,USA,USA,Eden Prairie,2011-05-01,"",15:54.5,15:54.5,us,,,
14812,1,Köstritzer,Schwarzbier,4.8,2,Schwarzbier,Germany,China,Shanghai,2012-06-01,"",15:54.5,15:54.5,de,,,
14813,1,Löwenbräu,,5.5,2,Dortmunder,Germany,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,de,,,
14814,1,Blue Moon,Pumpkin Harvest Moon Ale,5.7,1.9,Spice,USA,USA,Ithaca,2010-09-01,"",15:54.5,15:54.5,us,,,pumpkin
14815,1,Landshark,Island Style Lager,4.7,1.9,Pale Lager,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14816,1,Budweiser,Select,4.3,1.9,Pale Lager,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14817,1,Genesee,,5.1,1.9,Pale Lager,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14818,1,Harpoon,IPA,5.9,1.9,IPA,USA,USA,Ithaca,2011-09-01,"",15:54.5,15:54.5,us,,,
14819,1,Smuttynose,IPA,6.9,1.9,IPA,USA,USA,Ithaca,2011-09-01,"",15:54.5,15:54.5,us,,,
14820,1,Primátor,Exklusiv 16,6,1.9,Heller Bock,Czech Republic,China,Shanghai,2011-07-01,"",15:54.5,15:54.5,cz,,,
14821,1,New Belgium,Fat Tire,5.2,1.9,Amber Ale,USA,USA,Eden Prairie,2012-08-01,"",15:54.5,15:54.5,us,,,
14822,1,Wychwood,Hobgoblin,5.2,1.9,Premium Bitter,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14823,1,Bath Ales,Golden Hare,4.4,1.9,Golden Ale,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14824,1,Grain Belt,Nordeast,4.7,1.9,Vienna,USA,USA,Eden Prairie,2011-12-01,"MN beer!",15:54.5,15:54.5,us,,,
14825,1,Elysian,The Men's Room,5.6,1.8,American Pale Ale,USA,USA,Seattle,2011-08-01,"From Michelle",15:54.5,15:54.5,us,,,
14826,1,Flying Dog,Raging Bitch,8.3,1.8,IPA,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14827,1,Schell's,Bock,6.1,1.8,Dunkler Bock,USA,USA,Eden Prairie,2011-08-01,"MN!",15:54.5,15:54.5,us,,,
14828,1,Smuttynose,Shoals Pale Ale,5.6,1.8,English Pale Ale,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14829,1,Line 51,Panther,8,3.5,Baltic Porter,USA,USA,Berkeley,2013-12-01,"",15:54.5,15:54.5,us,,,
14830,1,Primátor,English Pale Ale,5,1.7,English Pale Ale,Czech Republic,China,Shanghai,2011-07-01,"",15:54.5,15:54.5,cz,,,
14831,1,Brakspear,Triple,7.2,1.7,English Strong Ale,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14832,1,Grimbergen,Curvée Ambrée,6.5,1.7,Abbey Dubbel,Belgium,Netherlands,Amsterdam,2011-01-01,"",15:54.5,15:54.5,be,,,
14833,1,Sapporo,Wheat,5,1.6,Wheat Ale,Japan,China,Shanghai,2011-06-01,"Can‘t actually find this one...",15:54.5,15:54.5,jp,,,
14834,1,Ridgeway Brewery,Bad King John,6,1.6,Stout,England,England,London,2012-01-01,"",15:54.5,15:54.5,gb,,,
14835,1,Blue Moon,Winter Abbey Ale,5.6,1.5,Belgian Ale,USA,USA,Ithaca,2011-11-01,"",15:54.5,15:54.5,us,,,
14836,1,Brooklyn,Lager,5.2,1.5,Vienna,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14837,1,Ithaca,Nut Brown Ale,5.4,1.5,Brown Ale,USA,USA,Ithaca,2010-10-01,"",15:54.5,15:54.5,us,,,
14838,1,Samuel Adams,Boston Lager,4.9,1.5,Vienna,USA,USA,Ithaca,2010-10-01,"",15:54.5,15:54.5,us,,,
14839,1,Карагандинское,Кружка Cвежего,4.5,1.5,Pale Lager,Kazakhstan,Kazakhstan,Almaty,2011-01-01,"",15:54.5,15:54.5,kz,,,
14840,1,Alma-ata,Жгулевское 1-авод,4.5,1.5,Pilsener,Kazakhstan,Kazakhstan,Almaty,2012-01-01,"",15:54.5,15:54.5,kz,,,
14841,1,Blue Sword,,4,1.4,Pale Lager,China,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,cn,,,
14842,1,Sol,,4.5,1.4,Pale Lager,Mexico,China,Shanghai,2011-07-01,"",15:54.5,15:54.5,mx,,,
14843,1,Simpler Times,Lager,6.2,1.4,Pale Lager,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14844,1,Sinkiang,Black Beer,4.9,1.9,American Dark Lager,China,China,Shanghai,2011-08-01,"黑酒 - switched 7/2013 to 6.0 after having it in Urumqi",15:54.5,15:54.5,cn,,,
14845,1,Sinkiang,,4.5,1.4,Pale Lager,China,China,Shanghai,2010-06-01,"",15:54.5,15:54.5,cn,,,
14846,1,Yanjing,,4.5,1.4,Pale Lager,China,China,Shanghai,2010-06-01,"",15:54.5,15:54.5,cn,,,
14847,1,Hoegaarden,,4.9,1.3,Belgian White,Netherlands,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,nl,,,
14848,1,Naale,White,3.3,1.3,Wheat Ale,China,China,Shanghai,2011-08-01,"",15:54.5,15:54.5,cn,,,
14849,1,Suntory,Ice Special,3.3,1.3,Pale Lager,Japan,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,jp,,,
14850,1,Budweiser,,5,1.2,Pale Lager,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14851,1,Full Sail,IPA,6,1.2,IPA,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14852,1,Csešky Duva,,4.5,1.2,Pale Lager,Kazakhstan,Kazakhstan,Almaty,2010-07-01,"Microbrew",15:54.5,15:54.5,kz,,,
14853,1,Snow,Light,3.3,1.1,Pale Lager,China,China,Shanghai,2010-07-01,"",15:54.5,15:54.5,cn,,,
14854,1,La Caracole,Troublette,5,1.1,Belgian White,Belgium,USA,Eden Prairie,2010-12-01,"",15:54.5,15:54.5,be,,,
14855,1,Chang,,5,1.1,Pale Lager,Thailand,England,London,2012-01-01,"",15:54.5,15:54.5,th,,,
14856,1,Saranac,Big Moose Ale,5.3,1,American Pale Ale,USA,USA,Ithaca,2011-11-01,"",15:54.5,15:54.5,us,,,
14857,1,Valentins,Hefeweissbier,5.3,1,Hefeweizen,Germany,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,de,,,
14858,1,Unibroue,Trois Pistoles,9,1,Belgian Strong Ale,Canada,USA,Eden Prairie,2010-12-01,"",15:54.5,15:54.5,ca,,,
14859,1,Leinenkugel,Sunset Wheat,4.9,1,Wheat Ale,USA,USA,Minneapolis,2011-12-01,"",15:54.5,15:54.5,us,,,
14860,1,Rolling Rock,Extra Pale,4.6,0.9,Pale Lager,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14861,1,Ninkasi,Total Domination,6.7,2,IPA,USA,USA,Berkeley,2013-08-01,"",15:54.5,15:54.5,us,,,
14862,1,Suntory,Lager,4.5,0.9,Pale Lager,Japan,China,Shanghai,2010-06-01,"",15:54.5,15:54.5,jp,,,
14863,1,Kronenbourg,1664 Instant Pression,5,0.9,Pale Lager,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14864,1,Uberach,Doigt de Dieu,4.8,0.9,Bière de Garde,France,France,Strasbourg,2010-08-01,"",15:54.5,15:54.5,fr,,,
14865,1,Tsingtao,Landscape,4.8,0.9,Pale Lager,China,China,Shanghai,2011-07-01,"山水",15:54.5,15:54.5,cn,,,
14866,1,Duvel,,8.5,0.9,Belgian Strong Ale,Belgium,Netherlands,Amsterdam,2011-01-01,"",15:54.5,15:54.5,be,,,
14867,1,Schell's,Fat Weasel Ale,7.1,0.9,Amber Ale,USA,USA,Eden Prairie,2011-08-01,"",15:54.5,15:54.5,us,,,
14868,1,Amstel,Light,3.5,0.9,Pale Lager,Netherlands,USA,Ithaca,2010-09-01,"",15:54.5,15:54.5,nl,,,
14869,1,Kozel,Premium Lager,3.8,0.9,Pilsener,Czech Republic,Kazakhstan,Almaty,2011-01-01,"",15:54.5,15:54.5,cz,,,
14870,1,Steinlager,Classic,4.8,0.9,Pale Lager,New Zealand,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,nz,,,
14871,1,Line Brew,,5,0.8,Pale Lager,Kazakhstan,Kazakhstan,Almaty,2012-01-01,"",15:54.5,15:54.5,kz,,,
14872,1,Lake Superior,Mesabi Red,6.5,0.6,Amber Ale,USA,USA,Tofte,2011-08-01,"",15:54.5,15:54.5,us,,,
14873,1,Pabst,Blue Ribbon,4.7,0.8,Pale Lager,USA,USA,Ithaca,2010-09-01,"",15:54.5,15:54.5,us,,,
14874,1,Affligem,Blonde,6.8,0.8,Belgian Ale,Belgium,China,Shanghai,2011-06-01,"",15:54.5,15:54.5,be,,,
14875,1,BrewDog,Dogma,7.8,0.8,Scotch Ale,Scotland,Netherlands,Amsterdam,2011-01-01,"",15:54.5,15:54.5,gb,,,honey
14876,1,Keystone,Light,4.2,0.8,Pale Lager,USA,USA,Ithaca,2010-09-01,"",15:54.5,15:54.5,us,,,
14877,1,Samuel Adams,Octoberfest,5.3,0.8,Oktoberfest,USA,USA,Ithaca,2010-11-01,"",15:54.5,15:54.5,us,,,
14878,1,Harbin,,3.5,1.4,Pale Lager,China,China,Harbin,2012-02-01,"",15:54.5,15:54.5,cn,,,
14879,1,Ithaca,Partly Sunny,4.9,0.6,Belgian White,USA,USA,Ithaca,2011-08-01,"",15:54.5,15:54.5,us,,,
14880,1,Krušovice,Imperial,5,0.6,Pilsener,Czech Republic,Kazakhstan,Almaty,2012-01-01,"",15:54.5,15:54.5,cz,,,
14882,1,Gayant,La Goudale,7.2,0.4,Bière de Garde,France,France,Paris,2010-08-01,"",15:54.5,15:54.5,fr,,,
14883,1,Duyck,Jenlain,7.5,0.2,Bière de Garde,France,France,Marseilles,2010-08-01,"",15:54.5,15:54.5,fr,,,
14884,1,Tsingtao,Laoshan,2.5,2.2,Pale Lager,China,China,Manjiazhai,2012-04-01,"",15:54.5,15:54.5,cn,,,
14885,1,Snow,Yabu,3,1.4,Pale Lager,China,China,Manjiazhai,2012-04-01,"",15:54.5,15:54.5,cn,,,
14886,1,Tuborg,Green,4.6,0.9,Premium Lager,Denmark,China,Manjiazhai,2012-04-01,"",15:54.5,15:54.5,dk,,,
14887,1,Prince Louis,,3.5,2.2,Dry Stout,China,China,Dandong,2012-04-01,"Can't find full information, best guess to style and country",15:54.5,15:54.5,cn,,,
14888,1,Shitak,,3.5,0.9,Pale Lager,China,China,Dandong,2012-04-01,"",15:54.5,15:54.5,cn,,,
14889,1,Yanjing,Chrysanthemum,3.4,2.1,Pale Lager,China,China,Harbin,2012-05-01,"Actually tastes like chrysanthemum and beer. ",15:54.5,15:54.5,cn,,,chrysanthemum;flower
14890,1,Pabst,Blue Ribbon Black Beer,6,1.9,Stout,China,China,Harbin,2012-05-01,"Yeah, actually only brewed in China",15:54.5,15:54.5,cn,,,
14891,1,Chimay,Blue,9,3,Belgian Strong Ale,Belgium,China,Shanghai,2012-06-01,"21st bday, haha",15:54.5,15:54.5,be,,,
14892,1,Chimay,Tripel,8,2.4,Abbey Tripel,Belgium,China,Shanghai,2012-06-01,"Another 21st bday beer",15:54.5,15:54.5,be,,,
14893,1,Menabrea,1846,4.8,2.2,Pale Lager,Italy,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,it,,,
14894,1,Kaiserdom,Dark Lager,4.7,2.1,Schwarzbier,Germany,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,de,,,
14895,1,Wells and Youngs,Youngs Double Chocolate Stout,5.2,2.4,Stout,England,China,Shanghai,2012-07-01,"Walkin' on the road with Isa in Shanghai, aww yeah.",15:54.5,15:54.5,gb,,,cacao
14896,1,Brooklyn,Summer Ale,5,2.8,Golden Ale,USA,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,us,,,
14897,1,Efes,Dark,6.2,1.6,Dunkel,Turkey,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,tr,,,
14898,1,Carlton and United Breweries,Victoria Bitter,4.6,1.8,Pale Lager,Australia,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,au,,,
14899,1,Cascade Brewery,Stout,5.8,2.9,Foreign Stout,Australia,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,au,,,
14900,1,Huanghe,Lager,3.5,1.4,Pale Lager,China,China,Dandong,2012-04-01,"",15:54.5,15:54.5,cn,,,
14901,1,Yalujiang,Lager,3.5,1.4,Pale Lager,China,China,Dandong,2012-04-01,"",15:54.5,15:54.5,cn,,,
14902,1,Estrella,Damm Barcelona,4.8,1.9,Pilsener,Spain,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,es,,,
14903,1,Damm,Bock-Damm,5.4,2,Dunkler Bock,Spain,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,es,,,
14904,1,Guinness,Foreign Extra Stout,7.5,2.9,Foreign Stout,Ireland,China,Shanghai,2012-07-01,"",15:54.5,15:54.5,ie,,,
14905,1,Mikkeller,Not Just Another Wit,7.4,2.3,Belgian White,Denmark,China,Shanghai,2012-08-01,"",15:54.5,15:54.5,dk,,,
14906,1,BrewDog,5 A.M. Saint,5,2.1,Amber Ale,Scotland,China,Shanghai,2012-08-01,"",15:54.5,15:54.5,gb,,,
14907,1,Černá Hora,Kvasar,5.5,1.9,Vienna,Czech Republic,China,Shanghai,2012-08-01,"",15:54.5,15:54.5,cz,,,
14908,1,The Brew,IPA,5.2,3.2,IPA,China,China,Shanghai,2012-08-01,"The Brew microbrewery at Kerry Center",15:54.5,15:54.5,cn,,,
14909,1,The Brew,Dugite Vanilla Stout,5,2.5,Sweet Stout,China,China,Shanghai,2012-08-01,"The Brew microbrewery at Kerry Center",15:54.5,15:54.5,cn,,,vanilla
14910,1,The Brew,White Ant,4.5,3.4,Belgian White,China,China,Shanghai,2012-08-01,"The Brew microbrewery at Kerry Center",15:54.5,15:54.5,cn,,,
14911,1,Laurelwood,Gearhead IPA,6.5,3.1,IPA,USA,USA,Portland,2012-08-01,"",15:54.5,15:54.5,us,,,
14912,1,Laurelwood,Space Stout,6.1,3.4,Sweet Stout,USA,USA,Portland,2012-08-01,"",15:54.5,15:54.5,us,,,
